,winner,rounds
474,dealer,1
475,player,1
476,player,1
477,player,1
478,player,1
479,dealer,1
480,player,1
481,player,1
482,player,2
483,dealer,1
484,player,2
485,dealer,1
486,player,2
487,dealer,1
488,player,2
489,dealer,1
490,player,1
491,dealer,1
492,dealer,1
493,player,1
494,player,2
495,player,1
496,player,2
497,player,2
498,dealer,1
499,player,2
500,dealer,1
501,dealer,1
502,player,2
503,player,1
504,player,2
505,player,1
506,player,1
507,player,1
508,player,1
509,player,1
510,player,2
511,dealer,1
512,player,1
513,dealer,1
514,player,2
515,dealer,1
516,player,2
517,player,1
518,player,2
519,dealer,1
520,player,1
521,player,1
522,dealer,1
523,player,1
524,player,1
525,player,1
526,player,1
527,dealer,1
528,player,1
529,player,1
530,dealer,1
531,dealer,1
532,player,1
533,player,2
534,dealer,1
535,dealer,1
536,player,2
537,player,1
538,dealer,1
539,dealer,1
540,dealer,1
541,dealer,1
542,player,2
543,player,2
544,player,2
545,dealer,1
546,dealer,1
547,dealer,1
548,dealer,1
549,dealer,1
550,player,2
551,player,1
552,dealer,1
553,player,2
554,player,2
555,player,1
556,dealer,1
557,player,2
558,dealer,1
559,player,2
560,dealer,1
561,player,2
562,player,2
563,player,2
564,player,2
565,dealer,1
566,player,1
567,player,1
568,player,2
569,player,1
570,player,1
571,player,2
572,player,2
573,player,2
574,player,1
575,player,1
576,player,1
577,dealer,1
578,player,2
579,player,2
580,player,2
581,dealer,1
582,player,2
583,dealer,1
584,dealer,1
585,player,1
586,dealer,1
587,player,2
588,player,2
589,player,1
590,player,1
591,player,1
592,player,1
593,player,2
594,player,1
595,player,2
596,player,1
597,player,2
598,dealer,1
599,dealer,1
600,dealer,1
601,dealer,1
602,dealer,1
603,player,1
604,player,2
605,dealer,1
606,player,1
607,dealer,1
608,dealer,1
609,player,2
610,player,2
611,player,2
612,player,1
613,player,2
614,player,1
615,player,1
616,dealer,1
617,dealer,1
618,player,1
619,dealer,1
620,dealer,1
621,dealer,1
622,player,1
623,dealer,1
624,player,1
625,dealer,1
626,dealer,1
627,player,2
628,dealer,1
629,player,2
630,dealer,1
631,player,1
632,player,2
633,player,1
634,player,2
635,player,2
636,player,2
637,dealer,1
638,dealer,1
639,player,2
640,dealer,1
641,player,2
642,player,1
643,player,2
644,dealer,1
645,player,1
646,player,1
647,dealer,1
648,player,1
