,winner,rounds
532,player,1
533,player,3
534,player,1
535,player,3
536,player,2
537,player,2
538,player,2
539,player,2
540,player,2
541,player,1
542,player,1
543,player,1
544,player,3
545,player,1
546,player,2
547,player,1
548,player,2
549,player,2
550,player,2
551,player,2
552,player,2
553,player,3
554,player,1
555,player,2
556,player,2
557,player,3
558,player,2
559,player,2
560,player,2
561,player,3
562,player,3
563,player,3
564,player,3
565,player,2
566,player,2
567,player,3
568,player,2
569,player,1
570,player,1
571,player,1
572,player,1
573,player,2
574,player,3
575,player,2
576,player,2
577,player,2
578,player,2
579,player,3
580,player,2
581,player,2
582,player,2
583,player,1
584,player,2
585,player,2
586,player,2
587,player,1
588,player,1
589,player,1
590,player,2
591,player,2
592,player,1
593,player,2
594,player,2
595,player,3
596,player,2
597,player,1
598,player,3
599,player,2
600,player,1
601,player,2
602,player,2
603,player,2
604,player,2
605,player,1
606,player,1
607,player,2
608,player,1
609,player,2
610,player,2
611,player,1
612,player,1
613,player,1
614,player,1
615,player,1
616,player,2
617,player,3
618,player,2
619,player,1
620,player,1
621,player,3
622,player,2
623,player,2
624,player,2
625,player,2
626,player,2
627,player,3
628,player,3
629,player,1
630,player,3
631,player,3
632,player,1
633,player,1
634,player,2
635,player,2
636,player,2
637,player,1
638,player,2
639,player,1
640,player,2
641,player,2
642,player,1
643,player,3
644,player,1
645,player,2
646,player,3
647,player,2
648,player,2
649,player,2
650,player,2
651,player,1
652,player,2
653,player,1
654,player,2
655,player,3
656,player,2
657,player,3
658,player,1
659,player,1
660,player,3
661,player,2
662,player,3
663,player,2
664,player,2
665,player,3
666,player,3
667,player,3
668,player,2
669,player,1
670,player,1
671,player,2
672,player,1
673,player,1
674,player,3
675,player,2
676,player,2
677,player,1
678,player,1
679,player,1
680,player,2
681,player,2
682,player,1
683,player,2
684,player,1
685,player,2
686,player,3
687,player,2
688,player,3
689,player,2
690,player,1
691,player,2
692,player,1
693,player,2
694,player,2
695,player,3
696,player,2
697,player,1
698,player,2
699,player,3
700,player,3
701,player,1
702,player,1
703,player,2
704,player,1
705,player,3
706,player,1
707,player,2
708,player,2
709,player,2
710,player,2
711,player,1
712,player,1
713,player,2
714,player,2
715,player,1
716,player,2
